userID	movieID	rating	Action	Adventure	Animation	Children	Comedy	Crime	Documentary	Drama	Fantasy	Film-Noir	Horror	IMAX	Musical	Mystery	Romance	Sci-Fi	Short	Thriller	War	Western
75	3	1.0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
75	32	4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
78	32	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
75	110	4.0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
78	110	3.5	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
75	160	2.0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
75	163	4.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
75	165	4.5	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
75	173	3.5	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
75	296	5.0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
78	296	4.5	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
75	353	3.5	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0
75	420	2.0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
75	589	4.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
78	589	4.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
75	653	3.0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
75	832	4.5	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0
75	920	0.5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0
78	920	4.5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0
75	996	4.5	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0
75	1036	4.0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
75	1127	3.5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
75	1215	4.5	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
78	1215	4.0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
75	1233	4.0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
78	1233	4.5	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
75	1304	2.5	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
78	1304	4.5	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
